@relation 'Framing0-weka.filters.unsupervised.attribute.Remove-R1-4,6-17-weka.filters.unsupervised.attribute.Reorder-R2-7,1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
assis,opauto,locsens,remserv,opti,1
light,opauto,cowash,share,nothing,0
hvac,opauto,colight,remserv,insight,1
light,preshouse,cotv,remserv,nothing,0
wash,alert,coassis,remserv,reco,0
tv,lochouse,cosecu,locally,opti,0
alarm,opauto,corefri,locally,insight,0
secu,alert,cohvac,locally,reco,0
alarm,preshouse,cam,share,reco,0
tv,alert,locsens,share,insight,0
refr,lochouse,cowash,remserv,opti,0
assis,opauto,coalarm,share,opti,0
secu,lochouse,micro,share,nothing,0
assis,preshouse,watch,locally,nothing,1
wash,alert,cosecu,remserv,insight,0
light,preshouse,corefri,remserv,reco,1
refr,opauto,cotv,share,nothing,0
assis,lochouse,cohvac,remserv,nothing,1
alarm,preshouse,colight,share,insight,1
secu,lochouse,coassis,share,reco,0
tv,lochouse,coalarm,locally,nothing,0
refr,preshouse,micro,locally,reco,0
alarm,opauto,locsens,locally,opti,1
secu,alert,cam,locally,insight,1
tv,alert,cowash,share,opti,0
hvac,opauto,watch,remserv,opti,1
wash,lochouse,cotv,remserv,opti,0
hvac,alert,coassis,locally,reco,0
tv,preshouse,cam,remserv,nothing,0
refr,preshouse,cosecu,share,reco,0
hvac,lochouse,corefri,share,nothing,0
assis,alert,locsens,remserv,reco,0
alarm,preshouse,cohvac,locally,nothing,0
alarm,opauto,micro,share,opti,0
secu,lochouse,cowash,locally,opti,0
secu,alert,watch,share,insight,0
light,opauto,coalarm,remserv,insight,0
refr,opauto,colight,locally,insight,0
tv,preshouse,cotv,share,insight,0
light,lochouse,colight,remserv,nothing,0
secu,opauto,locsens,share,nothing,0
assis,lochouse,cam,locally,nothing,0
assis,alert,coassis,share,opti,0
tv,opauto,micro,locally,opti,1
secu,preshouse,cosecu,locally,reco,0
alarm,alert,watch,locally,insight,1
hvac,alert,cohvac,remserv,insight,1
refr,opauto,corefri,remserv,opti,1
alarm,lochouse,coalarm,share,reco,0
