@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
tv,alert,colight,locally,opti,cluster2,1
tv,lochouse,cosecu,share,insight,cluster2,0
secu,lochouse,cotv,locally,reco,cluster2,1
secu,alert,cohvac,share,nothing,cluster2,1
wash,lochouse,cam,remserv,reco,cluster2,0
alarm,opauto,corefri,share,reco,cluster2,0
refr,alert,coalarm,remserv,opti,cluster2,0
assis,preshouse,watch,locally,nothing,cluster1,1
secu,alert,cohvac,locally,reco,cluster1,0
tv,alert,locsens,share,insight,cluster1,0
wash,alert,coassis,remserv,reco,cluster1,1
refr,lochouse,cowash,remserv,opti,cluster1,0
assis,opauto,coalarm,share,opti,cluster1,0
alarm,preshouse,cam,share,reco,cluster1,0
secu,lochouse,micro,share,nothing,cluster1,0
light,preshouse,cotv,remserv,nothing,cluster1,0
alarm,opauto,corefri,locally,insight,cluster1,0
tv,lochouse,cosecu,locally,opti,cluster1,1
hvac,opauto,colight,remserv,insight,cluster1,0
tv,alert,locsens,share,nothing,cluster2,0
assis,opauto,coalarm,share,reco,cluster2,1
refr,lochouse,cowash,remserv,reco,cluster2,1
alarm,alert,corefri,remserv,opti,cluster2,1
secu,preshouse,cohvac,remserv,insight,cluster2,0
wash,opauto,cam,locally,nothing,cluster2,0
hvac,opauto,colight,remserv,nothing,cluster2,0
assis,preshouse,watch,locally,insight,cluster2,1
light,lochouse,cotv,share,insight,cluster2,0
wash,preshouse,coassis,share,opti,cluster2,1
tv,lochouse,cosecu,locally,reco,cluster2,1
light,alert,micro,locally,opti,cluster2,0
hvac,opauto,cam,remserv,nothing,cluster3,0
secu,preshouse,coalarm,remserv,insight,cluster3,0
light,alert,cowash,locally,opti,cluster3,1
assis,opauto,cosecu,share,reco,cluster3,0
assis,preshouse,colight,locally,insight,cluster3,1
tv,lochouse,coassis,locally,reco,cluster3,0
wash,opauto,cohvac,locally,nothing,cluster3,1
wash,preshouse,micro,share,opti,cluster3,0
light,lochouse,watch,share,insight,cluster3,1
alarm,alert,cotv,remserv,opti,cluster3,0
refr,lochouse,locsens,remserv,reco,cluster3,1
tv,alert,corefri,share,nothing,cluster3,0
alarm,preshouse,cowash,locally,nothing,cluster2,0
refr,opauto,coassis,locally,insight,cluster2,0
hvac,alert,cotv,locally,reco,cluster2,0
wash,lochouse,coalarm,remserv,opti,cluster2,0
secu,alert,cosecu,share,insight,cluster2,0
hvac,lochouse,cohvac,share,nothing,cluster2,0
secu,lochouse,colight,locally,opti,cluster2,1
assis,alert,cam,remserv,reco,cluster2,1
refr,preshouse,corefri,share,reco,cluster2,0
tv,preshouse,micro,remserv,nothing,cluster2,0
alarm,opauto,watch,share,opti,cluster2,0
light,opauto,locsens,remserv,insight,cluster2,1
secu,opauto,coassis,remserv,nothing,cluster0,0
tv,preshouse,cowash,remserv,insight,cluster0,0
light,alert,cam,share,nothing,cluster0,0
refr,opauto,micro,locally,nothing,cluster0,1
refr,preshouse,cotv,share,opti,cluster0,0
light,lochouse,corefri,locally,reco,cluster0,0
wash,opauto,locsens,share,reco,cluster0,0
alarm,lochouse,colight,remserv,reco,cluster0,1
hvac,lochouse,coalarm,share,insight,cluster0,0
hvac,alert,watch,locally,opti,cluster0,1
wash,preshouse,cosecu,locally,insight,cluster0,1
assis,alert,cohvac,remserv,opti,cluster0,1
light,lochouse,corefri,remserv,opti,cluster0,0
refr,alert,cotv,share,insight,cluster0,0
assis,opauto,cohvac,remserv,insight,cluster0,0
tv,alert,cowash,remserv,reco,cluster0,0
secu,opauto,coassis,share,opti,cluster0,0
secu,preshouse,cam,locally,nothing,cluster0,0
hvac,opauto,watch,locally,insight,cluster0,0
wash,lochouse,locsens,share,nothing,cluster0,0
alarm,preshouse,colight,remserv,nothing,cluster0,0
hvac,preshouse,coalarm,share,reco,cluster0,0
wash,alert,cosecu,locally,reco,cluster0,0
refr,lochouse,micro,locally,opti,cluster0,0
light,opauto,locsens,locally,insight,cluster3,1
refr,preshouse,corefri,remserv,nothing,cluster3,0
light,preshouse,colight,share,reco,cluster3,1
tv,lochouse,micro,remserv,opti,cluster3,1
hvac,preshouse,cotv,locally,nothing,cluster3,1
assis,lochouse,coassis,share,nothing,cluster3,1
assis,alert,cam,locally,reco,cluster3,1
wash,alert,cowash,share,insight,cluster3,1
secu,alert,cosecu,remserv,reco,cluster3,1
wash,lochouse,coalarm,locally,opti,cluster3,1
alarm,opauto,watch,remserv,insight,cluster3,1
hvac,opauto,cohvac,share,opti,cluster3,1
refr,alert,micro,remserv,insight,cluster0,0
light,lochouse,coassis,locally,nothing,cluster0,1
tv,lochouse,cowash,share,reco,cluster0,0
assis,preshouse,cohvac,share,insight,cluster0,0
alarm,preshouse,locsens,locally,reco,cluster0,1
hvac,preshouse,watch,remserv,reco,cluster0,0
light,alert,corefri,share,opti,cluster0,0
assis,opauto,cotv,locally,opti,cluster0,0
tv,alert,coalarm,locally,insight,cluster0,0
wash,lochouse,cosecu,remserv,nothing,cluster0,0
secu,opauto,cam,remserv,opti,cluster0,0
alarm,opauto,colight,share,nothing,cluster0,0
hvac,lochouse,cohvac,remserv,opti,cluster1,0
refr,lochouse,cam,share,nothing,cluster1,0
secu,preshouse,locsens,share,reco,cluster1,0
secu,opauto,cosecu,locally,insight,cluster1,0
light,alert,colight,remserv,reco,cluster1,0
tv,preshouse,micro,locally,nothing,cluster1,0
tv,opauto,cotv,share,opti,cluster1,0
alarm,lochouse,watch,locally,opti,cluster1,0
assis,preshouse,coassis,remserv,nothing,cluster1,0
wash,opauto,cowash,remserv,insight,cluster1,0
alarm,alert,coalarm,share,insight,cluster1,0
refr,alert,corefri,locally,reco,cluster1,0
hvac,preshouse,cohvac,remserv,insight,cluster3,1
light,opauto,colight,remserv,nothing,cluster3,1
alarm,opauto,coalarm,share,reco,cluster3,1
secu,alert,locsens,share,nothing,cluster3,1
tv,lochouse,cotv,share,insight,cluster3,1
tv,alert,micro,locally,opti,cluster3,1
alarm,preshouse,watch,locally,insight,cluster3,1
assis,preshouse,coassis,share,opti,cluster3,1
refr,alert,corefri,remserv,opti,cluster3,1
wash,lochouse,cowash,remserv,reco,cluster3,1
assis,opauto,cam,locally,nothing,cluster3,1
secu,lochouse,cosecu,locally,reco,cluster3,1
hvac,lochouse,watch,locally,reco,cluster1,0
secu,lochouse,coassis,share,insight,cluster1,0
secu,alert,cam,locally,opti,cluster1,0
alarm,preshouse,colight,share,opti,cluster1,0
refr,preshouse,micro,locally,insight,cluster1,0
light,preshouse,corefri,remserv,insight,cluster1,0
hvac,alert,coalarm,share,nothing,cluster1,0
assis,lochouse,cohvac,remserv,reco,cluster1,0
tv,opauto,cowash,remserv,nothing,cluster1,0
refr,opauto,cotv,share,reco,cluster1,0
wash,alert,cosecu,remserv,opti,cluster1,0
alarm,opauto,locsens,locally,nothing,cluster1,0
alarm,lochouse,cam,share,insight,cluster1,0
tv,opauto,cosecu,locally,nothing,cluster1,0
refr,lochouse,cowash,locally,reco,cluster1,0
light,lochouse,cotv,remserv,reco,cluster1,0
secu,opauto,micro,share,reco,cluster1,0
assis,opauto,coalarm,remserv,nothing,cluster1,0
hvac,alert,colight,remserv,opti,cluster1,0
tv,preshouse,locsens,share,opti,cluster1,0
secu,preshouse,cohvac,locally,insight,cluster1,0
refr,alert,watch,share,nothing,cluster1,0
wash,preshouse,coassis,remserv,insight,cluster1,0
alarm,alert,corefri,locally,opti,cluster1,0
wash,opauto,cam,locally,opti,cluster2,1
refr,lochouse,cowash,remserv,nothing,cluster2,1
tv,opauto,cosecu,remserv,opti,cluster2,0
assis,preshouse,watch,locally,reco,cluster2,1
assis,opauto,coalarm,share,nothing,cluster2,0
alarm,alert,corefri,remserv,insight,cluster2,1
secu,preshouse,cohvac,remserv,reco,cluster2,0
hvac,lochouse,locsens,locally,nothing,cluster2,1
hvac,alert,colight,share,opti,cluster2,1
