@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
tv,opauto,cotv,locally,nothing,cluster2,1
secu,opauto,colight,share,reco,cluster2,1
light,lochouse,cosecu,remserv,reco,cluster2,0
hvac,alert,micro,remserv,opti,cluster2,1
secu,preshouse,locsens,locally,insight,cluster2,0
alarm,alert,coalarm,locally,opti,cluster2,1
assis,opauto,corefri,remserv,nothing,cluster2,1
refr,lochouse,cam,locally,reco,cluster2,0
tv,preshouse,cohvac,share,opti,cluster2,0
refr,alert,coassis,share,nothing,cluster2,1
alarm,lochouse,cowash,share,insight,cluster2,0
assis,alert,micro,locally,reco,cluster2,0
refr,preshouse,cohvac,remserv,nothing,cluster2,1
secu,alert,corefri,remserv,reco,cluster2,0
alarm,opauto,cosecu,remserv,insight,cluster2,0
tv,lochouse,watch,remserv,opti,cluster2,0
hvac,preshouse,coalarm,locally,nothing,cluster2,1
light,preshouse,coassis,share,reco,cluster2,0
wash,alert,colight,share,insight,cluster2,0
hvac,opauto,cowash,share,opti,cluster2,0
assis,lochouse,cotv,share,nothing,cluster2,1
light,opauto,cam,locally,insight,cluster2,0
wash,lochouse,locsens,locally,opti,cluster2,0
secu,alert,cohvac,locally,reco,cluster0,1
refr,lochouse,cowash,remserv,opti,cluster0,0
hvac,opauto,colight,remserv,insight,cluster0,0
tv,lochouse,cosecu,locally,opti,cluster0,0
secu,lochouse,micro,share,nothing,cluster0,0
assis,opauto,coalarm,share,opti,cluster0,0
light,preshouse,cotv,remserv,nothing,cluster0,1
tv,alert,locsens,share,insight,cluster0,0
wash,alert,coassis,remserv,reco,cluster0,0
alarm,opauto,corefri,locally,insight,cluster0,0
alarm,preshouse,cam,share,reco,cluster0,0
assis,preshouse,watch,locally,nothing,cluster0,1
hvac,opauto,cowash,share,reco,cluster2,0
wash,alert,colight,share,nothing,cluster2,0
refr,alert,cotv,locally,opti,cluster2,1
wash,lochouse,locsens,locally,reco,cluster2,1
secu,preshouse,corefri,share,opti,cluster2,0
secu,opauto,coassis,locally,nothing,cluster2,1
refr,lochouse,cohvac,share,insight,cluster2,0
tv,lochouse,watch,remserv,reco,cluster2,0
light,alert,cam,remserv,opti,cluster2,1
alarm,opauto,cosecu,remserv,nothing,cluster2,1
assis,preshouse,micro,remserv,insight,cluster2,0
hvac,preshouse,coalarm,locally,insight,cluster2,1
light,lochouse,cohvac,locally,insight,cluster2,1
wash,opauto,cam,share,insight,cluster2,0
tv,preshouse,colight,remserv,opti,cluster2,1
wash,preshouse,corefri,locally,opti,cluster2,1
assis,opauto,cowash,locally,reco,cluster2,1
alarm,lochouse,coassis,remserv,insight,cluster2,1
assis,preshouse,watch,share,nothing,cluster2,0
light,alert,micro,share,reco,cluster2,0
refr,alert,coalarm,remserv,nothing,cluster2,1
hvac,lochouse,locsens,share,opti,cluster2,0
secu,opauto,cotv,remserv,reco,cluster2,1
hvac,alert,cosecu,locally,nothing,cluster2,1
assis,opauto,watch,remserv,reco,cluster1,0
wash,preshouse,cam,remserv,opti,cluster1,0
tv,alert,cosecu,remserv,nothing,cluster1,0
refr,alert,cowash,share,reco,cluster1,0
light,lochouse,micro,remserv,insight,cluster1,0
hvac,opauto,locsens,locally,reco,cluster1,0
refr,lochouse,coalarm,locally,insight,cluster1,0
alarm,alert,coassis,locally,nothing,cluster1,0
alarm,lochouse,corefri,share,opti,cluster1,0
secu,opauto,cohvac,share,insight,cluster1,0
hvac,preshouse,colight,share,nothing,cluster1,0
secu,preshouse,cotv,locally,opti,cluster1,0
assis,lochouse,cosecu,share,reco,cluster0,0
hvac,lochouse,cam,remserv,nothing,cluster0,0
secu,alert,coalarm,remserv,insight,cluster0,1
tv,opauto,corefri,share,nothing,cluster0,1
refr,preshouse,locsens,remserv,reco,cluster0,0
alarm,opauto,cotv,remserv,opti,cluster0,1
light,opauto,cowash,locally,opti,cluster0,1
assis,alert,colight,locally,insight,cluster0,1
wash,lochouse,cohvac,locally,nothing,cluster0,0
tv,preshouse,coassis,locally,reco,cluster0,0
wash,alert,micro,share,opti,cluster0,0
light,preshouse,watch,share,insight,cluster0,1
tv,alert,coassis,share,reco,cluster2,1
assis,opauto,colight,share,insight,cluster2,1
secu,preshouse,watch,remserv,opti,cluster2,0
hvac,opauto,corefri,remserv,reco,cluster2,1
assis,preshouse,locsens,locally,opti,cluster2,0
light,alert,coalarm,locally,nothing,cluster2,1
alarm,opauto,micro,locally,reco,cluster2,1
refr,lochouse,cosecu,remserv,insight,cluster2,0
light,lochouse,cowash,share,opti,cluster2,0
wash,alert,cohvac,remserv,nothing,cluster2,1
alarm,preshouse,cotv,share,nothing,cluster2,0
tv,lochouse,cam,locally,insight,cluster2,1
refr,lochouse,coalarm,share,nothing,cluster2,1
secu,opauto,micro,locally,insight,cluster2,1
secu,preshouse,cotv,share,reco,cluster2,0
alarm,alert,coassis,share,insight,cluster2,0
tv,preshouse,locsens,locally,nothing,cluster2,0
hvac,lochouse,cosecu,remserv,opti,cluster2,1
tv,opauto,colight,share,opti,cluster2,1
light,alert,cohvac,remserv,reco,cluster2,1
alarm,lochouse,cam,locally,opti,cluster2,0
refr,alert,watch,locally,reco,cluster2,1
assis,preshouse,cowash,remserv,nothing,cluster2,0
wash,opauto,corefri,remserv,insight,cluster2,0
assis,lochouse,locsens,share,insight,cluster0,0
wash,opauto,cotv,remserv,nothing,cluster0,0
light,opauto,watch,locally,nothing,cluster0,0
alarm,alert,micro,share,nothing,cluster0,0
light,preshouse,coalarm,share,opti,cluster0,0
tv,opauto,cam,share,reco,cluster0,0
alarm,lochouse,cohvac,locally,reco,cluster0,0
hvac,lochouse,coassis,remserv,reco,cluster0,0
secu,alert,cowash,remserv,opti,cluster0,0
tv,preshouse,corefri,locally,insight,cluster0,0
assis,alert,cosecu,locally,opti,cluster0,0
refr,preshouse,colight,remserv,insight,cluster0,0
wash,lochouse,cotv,share,insight,cluster3,0
tv,alert,corefri,remserv,opti,cluster3,0
secu,lochouse,cowash,remserv,reco,cluster3,1
light,preshouse,watch,locally,insight,cluster3,0
wash,alert,micro,locally,opti,cluster3,0
assis,lochouse,cosecu,locally,reco,cluster3,0
refr,opauto,colight,remserv,nothing,cluster3,1
assis,alert,locsens,share,nothing,cluster3,1
hvac,preshouse,coassis,share,opti,cluster3,1
light,opauto,coalarm,share,reco,cluster3,1
alarm,preshouse,cohvac,remserv,insight,cluster3,1
hvac,opauto,cam,locally,nothing,cluster3,0
secu,opauto,colight,remserv,nothing,cluster2,1
assis,alert,corefri,remserv,opti,cluster2,1
refr,opauto,cam,locally,nothing,cluster2,1
alarm,lochouse,cowash,remserv,reco,cluster2,0
light,alert,locsens,share,nothing,cluster2,0
wash,preshouse,watch,locally,insight,cluster2,1
hvac,alert,micro,locally,opti,cluster2,1
light,lochouse,cosecu,locally,reco,cluster2,1
tv,preshouse,cohvac,remserv,insight,cluster2,0
hvac,lochouse,cotv,share,insight,cluster2,0
wash,opauto,coalarm,share,reco,cluster2,1
refr,preshouse,coassis,share,opti,cluster2,0
secu,opauto,corefri,share,reco,cluster2,0
wash,preshouse,locsens,remserv,insight,cluster2,1
alarm,lochouse,cosecu,share,insight,cluster2,0
tv,opauto,cowash,locally,nothing,cluster2,1
secu,preshouse,coassis,locally,insight,cluster2,1
tv,preshouse,watch,share,opti,cluster2,0
assis,opauto,micro,remserv,nothing,cluster2,1
alarm,alert,colight,locally,opti,cluster2,1
refr,lochouse,cotv,locally,reco,cluster2,0
hvac,alert,coalarm,remserv,opti,cluster2,1
light,lochouse,cam,remserv,reco,cluster2,0
refr,alert,cohvac,share,nothing,cluster2,0
tv,opauto,cam,remserv,insight,cluster2,1
light,alert,coalarm,locally,reco,cluster2,1
alarm,alert,micro,remserv,reco,cluster2,1
refr,preshouse,colight,locally,nothing,cluster2,1
refr,opauto,cosecu,share,opti,cluster2,0
assis,lochouse,locsens,remserv,opti,cluster2,1
secu,preshouse,watch,remserv,nothing,cluster2,0
light,lochouse,cowash,share,nothing,cluster2,0
wash,opauto,cotv,locally,insight,cluster2,1
wash,preshouse,cohvac,share,reco,cluster2,0
hvac,alert,corefri,share,insight,cluster2,0
hvac,lochouse,coassis,locally,opti,cluster2,1
refr,alert,colight,remserv,insight,cluster2,0
alarm,preshouse,cohvac,locally,reco,cluster2,0
tv,lochouse,cam,share,reco,cluster2,0
light,alert,coalarm,share,opti,cluster2,1
alarm,opauto,micro,share,nothing,cluster2,1
hvac,preshouse,coassis,remserv,reco,cluster2,0
assis,opauto,cosecu,locally,opti,cluster2,1
assis,preshouse,locsens,share,insight,cluster2,0
secu,opauto,cowash,remserv,opti,cluster2,1
light,lochouse,watch,locally,nothing,cluster2,1
wash,lochouse,cotv,remserv,nothing,cluster2,0
tv,alert,corefri,locally,insight,cluster2,1
tv,lochouse,cotv,share,opti,cluster1,0
tv,alert,micro,locally,nothing,cluster1,0
refr,preshouse,cam,share,nothing,cluster1,0
alarm,preshouse,watch,locally,opti,cluster1,1
hvac,preshouse,cohvac,remserv,opti,cluster1,1
refr,opauto,corefri,locally,reco,cluster1,0
secu,alert,locsens,share,reco,cluster1,1
light,opauto,colight,remserv,reco,cluster1,1
wash,lochouse,cowash,remserv,insight,cluster1,0
secu,lochouse,cosecu,locally,insight,cluster1,0
alarm,opauto,coalarm,share,insight,cluster1,0
assis,alert,coassis,remserv,nothing,cluster1,0
hvac,preshouse,colight,remserv,opti,cluster2,1
alarm,opauto,cam,share,insight,cluster2,0
tv,lochouse,locsens,share,opti,cluster2,0
assis,alert,coalarm,remserv,nothing,cluster2,1
alarm,preshouse,corefri,locally,opti,cluster2,1
secu,lochouse,cohvac,locally,insight,cluster2,1
secu,alert,micro,share,reco,cluster2,0
tv,alert,cosecu,locally,nothing,cluster2,1
light,opauto,cotv,remserv,reco,cluster2,1
refr,opauto,cowash,locally,reco,cluster2,0
wash,lochouse,coassis,remserv,insight,cluster2,0
refr,preshouse,watch,share,nothing,cluster2,0
refr,preshouse,coalarm,locally,nothing,cluster2,1
hvac,lochouse,locsens,locally,opti,cluster2,1
wash,preshouse,coassis,share,reco,cluster2,0
hvac,alert,colight,share,insight,cluster2,0
wash,opauto,cam,locally,insight,cluster2,0
light,lochouse,cotv,share,nothing,cluster2,0
alarm,alert,corefri,remserv,reco,cluster2,0
tv,opauto,cosecu,remserv,insight,cluster2,0
assis,lochouse,watch,remserv,opti,cluster2,1
light,alert,micro,locally,reco,cluster2,0
secu,preshouse,cohvac,remserv,nothing,cluster2,1
refr,opauto,cowash,share,opti,cluster2,0
refr,preshouse,cohvac,share,reco,cluster2,1
secu,alert,corefri,share,insight,cluster2,0
hvac,lochouse,cowash,share,nothing,cluster2,1
wash,lochouse,locsens,remserv,opti,cluster2,1
tv,preshouse,watch,remserv,nothing,cluster2,0
hvac,alert,coalarm,locally,reco,cluster2,1
assis,alert,micro,remserv,reco,cluster2,0
refr,opauto,cotv,locally,insight,cluster2,0
alarm,opauto,cosecu,share,opti,cluster2,0
alarm,preshouse,colight,locally,nothing,cluster2,1
light,opauto,cam,remserv,insight,cluster2,1
secu,lochouse,coassis,locally,opti,cluster2,1
refr,alert,cam,share,reco,cluster1,0
refr,lochouse,corefri,locally,insight,cluster1,0
wash,preshouse,cowash,remserv,opti,cluster1,0
assis,opauto,coassis,remserv,reco,cluster1,0
alarm,alert,watch,locally,nothing,cluster1,1
alarm,lochouse,coalarm,share,opti,cluster1,0
hvac,opauto,cohvac,locally,reco,cluster1,0
secu,opauto,locsens,share,insight,cluster1,0
hvac,preshouse,micro,share,nothing,cluster1,0
tv,alert,cotv,remserv,nothing,cluster1,0
light,lochouse,colight,remserv,insight,cluster1,1
secu,preshouse,cosecu,locally,opti,cluster1,1
light,lochouse,corefri,share,nothing,cluster3,1
tv,opauto,coalarm,remserv,insight,cluster3,1
light,alert,coassis,locally,reco,cluster3,1
alarm,alert,locsens,remserv,reco,cluster3,1
assis,lochouse,cotv,remserv,opti,cluster3,1
hvac,lochouse,cowash,locally,opti,cluster3,1
refr,opauto,micro,share,opti,cluster3,1
wash,preshouse,cosecu,share,reco,cluster3,0
refr,preshouse,cohvac,locally,nothing,cluster3,1
wash,opauto,colight,locally,insight,cluster3,1
secu,preshouse,cam,remserv,nothing,cluster3,1
hvac,alert,watch,share,insight,cluster3,0
wash,opauto,watch,share,nothing,cluster2,0
tv,preshouse,cotv,remserv,reco,cluster2,1
wash,preshouse,cowash,locally,reco,cluster2,0
secu,alert,locsens,share,opti,cluster2,0
light,opauto,colight,remserv,opti,cluster2,0
secu,lochouse,cosecu,locally,nothing,cluster2,0
alarm,lochouse,coalarm,remserv,nothing,cluster2,0
hvac,lochouse,micro,share,reco,cluster2,0
assis,alert,coassis,remserv,insight,cluster2,1
hvac,alert,cohvac,locally,insight,cluster2,0
refr,opauto,corefri,locally,opti,cluster2,1
refr,preshouse,cam,share,insight,cluster2,0
assis,opauto,coalarm,share,insight,cluster3,1
alarm,opauto,corefri,locally,reco,cluster3,0
wash,alert,coassis,remserv,nothing,cluster3,0
hvac,opauto,colight,remserv,reco,cluster3,0
refr,lochouse,cowash,remserv,insight,cluster3,0
secu,preshouse,cohvac,remserv,opti,cluster3,0
assis,preshouse,watch,locally,opti,cluster3,0
tv,alert,locsens,share,reco,cluster3,1
alarm,preshouse,cam,share,nothing,cluster3,1
tv,lochouse,cosecu,locally,insight,cluster3,1
light,alert,micro,locally,nothing,cluster3,1
light,lochouse,cotv,share,opti,cluster3,0
light,opauto,cohvac,remserv,reco,cluster1,0
refr,opauto,watch,locally,reco,cluster1,0
refr,preshouse,coalarm,share,nothing,cluster1,0
secu,alert,cotv,share,reco,cluster1,0
alarm,preshouse,cam,locally,opti,cluster1,0
wash,lochouse,corefri,remserv,insight,cluster1,0
tv,lochouse,colight,share,opti,cluster1,0
assis,alert,cowash,remserv,nothing,cluster1,0
tv,alert,locsens,locally,nothing,cluster1,0
hvac,preshouse,cosecu,remserv,opti,cluster1,0
secu,lochouse,micro,locally,insight,cluster1,0
alarm,opauto,coassis,share,insight,cluster1,0
assis,alert,locsens,locally,nothing,cluster1,0
tv,opauto,coassis,share,insight,cluster1,0
alarm,lochouse,micro,locally,insight,cluster1,0
assis,lochouse,colight,share,opti,cluster1,0
light,alert,cowash,remserv,nothing,cluster1,0
tv,preshouse,cam,locally,opti,cluster1,0
wash,opauto,cohvac,remserv,reco,cluster1,0
secu,preshouse,coalarm,share,nothing,cluster1,0
hvac,lochouse,corefri,remserv,insight,cluster1,0
refr,preshouse,cosecu,remserv,opti,cluster1,0
alarm,alert,cotv,share,reco,cluster1,0
secu,opauto,watch,locally,reco,cluster1,0
secu,alert,corefri,remserv,reco,cluster3,1
hvac,preshouse,coalarm,locally,nothing,cluster3,1
assis,alert,micro,locally,reco,cluster3,1
tv,lochouse,watch,remserv,opti,cluster3,1
light,preshouse,coassis,share,reco,cluster3,1
refr,preshouse,cohvac,remserv,nothing,cluster3,1
alarm,opauto,cosecu,remserv,insight,cluster3,1
light,opauto,cam,locally,insight,cluster3,1
assis,lochouse,cotv,share,nothing,cluster3,1
hvac,opauto,cowash,share,opti,cluster3,1
wash,alert,colight,share,insight,cluster3,1
wash,lochouse,locsens,locally,opti,cluster3,1
tv,alert,corefri,share,insight,cluster2,0
assis,opauto,cosecu,share,opti,cluster2,0
secu,alert,coalarm,locally,reco,cluster2,0
refr,lochouse,locsens,remserv,opti,cluster2,0
wash,alert,micro,remserv,reco,cluster2,0
tv,lochouse,coassis,locally,opti,cluster2,0
light,preshouse,watch,remserv,nothing,cluster2,1
alarm,preshouse,cohvac,share,reco,cluster2,0
secu,lochouse,cowash,share,nothing,cluster2,0
alarm,opauto,cotv,locally,insight,cluster2,1
hvac,opauto,cam,remserv,insight,cluster2,1
assis,preshouse,colight,locally,nothing,cluster2,1
wash,alert,corefri,locally,insight,cluster2,0
light,preshouse,cohvac,locally,reco,cluster2,0
light,opauto,micro,share,nothing,cluster2,0
hvac,opauto,cosecu,locally,opti,cluster2,1
hvac,preshouse,locsens,share,insight,cluster2,0
alarm,preshouse,coassis,remserv,reco,cluster2,0
tv,alert,colight,remserv,insight,cluster2,0
refr,lochouse,watch,locally,nothing,cluster2,0
secu,lochouse,cotv,remserv,nothing,cluster2,0
assis,opauto,cowash,remserv,opti,cluster2,0
wash,lochouse,cam,share,reco,cluster2,0
refr,alert,coalarm,share,opti,cluster2,0
refr,lochouse,micro,remserv,insight,cluster2,0
tv,alert,cowash,share,reco,cluster2,1
light,lochouse,corefri,share,opti,cluster2,1
wash,alert,cosecu,remserv,nothing,cluster2,0
assis,preshouse,cotv,locally,opti,cluster2,1
hvac,opauto,watch,remserv,reco,cluster2,1
secu,preshouse,cam,remserv,opti,cluster2,1
tv,lochouse,coalarm,locally,insight,cluster2,0
light,alert,coassis,locally,nothing,cluster2,1
assis,opauto,cohvac,share,insight,cluster2,1
alarm,preshouse,colight,share,nothing,cluster2,0
alarm,opauto,locsens,locally,reco,cluster2,1
secu,lochouse,locsens,share,nothing,cluster0,0
light,preshouse,colight,remserv,nothing,cluster0,0
wash,alert,cowash,remserv,reco,cluster0,0
tv,lochouse,micro,locally,opti,cluster0,1
tv,alert,cotv,share,insight,cluster0,0
assis,preshouse,cam,locally,nothing,cluster0,1
hvac,opauto,cohvac,remserv,insight,cluster0,0
assis,opauto,coassis,share,opti,cluster0,0
secu,alert,cosecu,locally,reco,cluster0,0
alarm,preshouse,coalarm,share,reco,cluster0,0
refr,lochouse,corefri,remserv,opti,cluster0,0
alarm,opauto,watch,locally,insight,cluster0,1
tv,lochouse,micro,share,opti,cluster2,0
alarm,opauto,watch,share,insight,cluster2,1
secu,lochouse,colight,locally,insight,cluster2,0
alarm,preshouse,cowash,locally,opti,cluster2,1
assis,alert,cam,remserv,nothing,cluster2,0
hvac,preshouse,cotv,remserv,opti,cluster2,1
refr,preshouse,corefri,share,nothing,cluster2,0
refr,opauto,coassis,locally,reco,cluster2,1
light,opauto,locsens,remserv,reco,cluster2,1
wash,lochouse,coalarm,remserv,insight,cluster2,0
tv,alert,cohvac,locally,nothing,cluster2,1
secu,alert,cosecu,share,reco,cluster2,0
secu,preshouse,coassis,share,reco,cluster3,0
tv,opauto,cowash,share,opti,cluster3,1
light,alert,corefri,remserv,reco,cluster3,1
hvac,lochouse,watch,remserv,opti,cluster3,1
refr,alert,micro,locally,reco,cluster3,0
tv,preshouse,coalarm,locally,nothing,cluster3,1
assis,preshouse,cohvac,remserv,nothing,cluster3,0
refr,lochouse,cotv,share,nothing,cluster3,0
alarm,lochouse,locsens,locally,opti,cluster3,1
wash,opauto,cosecu,remserv,insight,cluster3,1
secu,opauto,cam,locally,insight,cluster3,1
alarm,alert,colight,share,insight,cluster3,0
alarm,lochouse,locsens,remserv,insight,cluster0,0
assis,preshouse,cohvac,share,nothing,cluster0,1
wash,preshouse,colight,locally,opti,cluster0,0
wash,opauto,cosecu,share,insight,cluster0,0
assis,opauto,cotv,locally,reco,cluster0,0
light,alert,corefri,share,reco,cluster0,0
hvac,alert,cowash,locally,nothing,cluster0,1
refr,alert,micro,remserv,nothing,cluster0,1
tv,preshouse,coalarm,remserv,opti,cluster0,0
secu,opauto,cam,remserv,reco,cluster0,0
hvac,lochouse,watch,share,opti,cluster0,0
light,lochouse,coassis,locally,insight,cluster0,1
tv,lochouse,cowash,locally,insight,cluster2,1
wash,alert,locsens,remserv,nothing,cluster2,0
alarm,preshouse,cosecu,share,nothing,cluster2,0
secu,preshouse,coassis,remserv,opti,cluster2,0
light,lochouse,cam,share,opti,cluster2,0
assis,opauto,micro,share,insight,cluster2,0
light,alert,corefri,locally,nothing,cluster2,1
hvac,opauto,coalarm,remserv,reco,cluster2,1
tv,alert,watch,share,reco,cluster2,1
refr,lochouse,cotv,remserv,insight,cluster2,1
alarm,opauto,colight,locally,reco,cluster2,1
assis,preshouse,cohvac,locally,opti,cluster2,1
refr,preshouse,cosecu,share,insight,cluster3,1
secu,alert,watch,share,opti,cluster3,1
assis,alert,locsens,remserv,insight,cluster3,1
light,opauto,coalarm,remserv,opti,cluster3,1
hvac,lochouse,corefri,share,reco,cluster3,1
alarm,lochouse,micro,remserv,nothing,cluster3,1
wash,preshouse,cotv,locally,reco,cluster3,1
secu,lochouse,cowash,locally,nothing,cluster3,1
hvac,alert,coassis,locally,insight,cluster3,1
tv,preshouse,cam,remserv,reco,cluster3,0
refr,opauto,colight,locally,opti,cluster3,0
wash,opauto,cohvac,share,nothing,cluster3,0
assis,lochouse,locsens,remserv,reco,cluster0,0
hvac,lochouse,coassis,locally,reco,cluster0,0
wash,alert,cotv,remserv,opti,cluster0,0
alarm,preshouse,micro,share,opti,cluster0,0
refr,opauto,cosecu,share,reco,cluster0,0
secu,lochouse,watch,share,insight,cluster0,0
tv,opauto,cam,remserv,nothing,cluster0,0
alarm,opauto,cohvac,locally,nothing,cluster0,0
refr,preshouse,colight,locally,insight,cluster0,0
hvac,alert,corefri,share,nothing,cluster0,0
secu,alert,cowash,locally,opti,cluster0,1
light,preshouse,coalarm,remserv,insight,cluster0,0
light,preshouse,corefri,share,nothing,cluster3,0
refr,lochouse,micro,share,opti,cluster3,0
hvac,opauto,watch,share,insight,cluster3,1
wash,lochouse,colight,locally,insight,cluster3,1
wash,alert,cosecu,share,reco,cluster3,0
tv,lochouse,coalarm,remserv,insight,cluster3,1
secu,alert,cam,remserv,nothing,cluster3,1
assis,preshouse,cotv,remserv,opti,cluster3,1
refr,alert,cohvac,locally,nothing,cluster3,1
alarm,opauto,locsens,remserv,reco,cluster3,1
hvac,preshouse,cowash,locally,opti,cluster3,1
light,opauto,coassis,locally,reco,cluster3,1
refr,alert,corefri,locally,opti,cluster2,1
secu,preshouse,locsens,share,opti,cluster2,1
light,alert,colight,remserv,opti,cluster2,1
hvac,preshouse,cohvac,locally,insight,cluster2,1
wash,lochouse,cowash,locally,reco,cluster2,1
assis,preshouse,coassis,remserv,insight,cluster2,0
refr,lochouse,cam,share,insight,cluster2,0
tv,lochouse,cotv,remserv,reco,cluster2,0
secu,opauto,cosecu,locally,nothing,cluster2,1
wash,alert,watch,share,nothing,cluster2,1
hvac,opauto,micro,share,reco,cluster2,0
alarm,opauto,coalarm,remserv,nothing,cluster2,1
refr,opauto,cohvac,locally,opti,cluster2,1
tv,preshouse,coalarm,remserv,reco,cluster2,0
assis,alert,cotv,remserv,insight,cluster2,0
hvac,lochouse,watch,share,reco,cluster2,0
secu,lochouse,corefri,locally,nothing,cluster2,1
alarm,lochouse,locsens,remserv,nothing,cluster2,1
light,opauto,coassis,remserv,opti,cluster2,0
wash,opauto,cosecu,share,nothing,cluster2,1
hvac,alert,cowash,locally,insight,cluster2,1
secu,alert,cam,share,opti,cluster2,0
refr,preshouse,micro,share,insight,cluster2,1
wash,preshouse,colight,locally,reco,cluster2,0
secu,opauto,cohvac,remserv,insight,cluster0,0
light,alert,cotv,share,insight,cluster0,0
alarm,lochouse,corefri,remserv,opti,cluster0,0
assis,opauto,watch,locally,insight,cluster0,1
refr,alert,cowash,remserv,reco,cluster0,1
wash,preshouse,cam,locally,nothing,cluster0,1
assis,preshouse,coalarm,share,reco,cluster0,0
wash,opauto,coassis,share,opti,cluster0,0
light,lochouse,micro,locally,opti,cluster0,1
tv,alert,cosecu,locally,reco,cluster0,1
hvac,preshouse,colight,remserv,nothing,cluster0,0
tv,lochouse,locsens,share,nothing,cluster0,0
assis,preshouse,cosecu,locally,opti,cluster0,0
tv,alert,cam,share,reco,cluster0,0
light,alert,watch,locally,nothing,cluster0,1
secu,preshouse,cowash,remserv,opti,cluster0,0
refr,lochouse,colight,remserv,insight,cluster0,0
wash,alert,cotv,remserv,nothing,cluster0,0
tv,lochouse,corefri,locally,insight,cluster0,0
light,lochouse,coalarm,share,opti,cluster0,0
alarm,preshouse,micro,share,nothing,cluster0,0
assis,opauto,locsens,share,insight,cluster0,0
alarm,opauto,cohvac,locally,reco,cluster0,1
hvac,opauto,coassis,remserv,reco,cluster0,0
tv,lochouse,corefri,share,insight,cluster3,0
alarm,opauto,cohvac,share,reco,cluster3,1
secu,lochouse,coalarm,locally,reco,cluster3,1
assis,preshouse,cosecu,share,opti,cluster3,1
secu,alert,cowash,share,nothing,cluster3,0
light,opauto,watch,remserv,nothing,cluster3,0
assis,opauto,colight,locally,nothing,cluster3,1
wash,lochouse,micro,remserv,reco,cluster3,0
tv,alert,coassis,locally,opti,cluster3,0
alarm,preshouse,cotv,locally,insight,cluster3,1
hvac,preshouse,cam,remserv,insight,cluster3,1
refr,alert,locsens,remserv,opti,cluster3,0
light,alert,coalarm,remserv,reco,cluster0,0
refr,lochouse,cosecu,share,nothing,cluster0,0
refr,alert,colight,locally,reco,cluster0,0
alarm,lochouse,cohvac,locally,opti,cluster0,1
alarm,alert,micro,share,insight,cluster0,0
assis,preshouse,locsens,remserv,nothing,cluster0,0
secu,preshouse,watch,share,reco,cluster0,0
hvac,lochouse,coassis,remserv,opti,cluster0,1
tv,preshouse,corefri,locally,nothing,cluster0,0
secu,opauto,cowash,locally,insight,cluster0,1
wash,opauto,cotv,remserv,insight,cluster0,1
tv,opauto,cam,share,opti,cluster0,0
tv,preshouse,watch,share,nothing,cluster3,1
assis,alert,micro,share,reco,cluster3,0
assis,lochouse,cohvac,locally,insight,cluster3,1
refr,opauto,cotv,remserv,reco,cluster3,1
light,preshouse,corefri,locally,opti,cluster3,1
wash,lochouse,locsens,share,opti,cluster3,0
tv,opauto,cowash,locally,reco,cluster3,1
wash,alert,cosecu,locally,nothing,cluster3,1
hvac,alert,coalarm,remserv,nothing,cluster3,1
alarm,preshouse,colight,remserv,opti,cluster3,1
light,opauto,cam,share,insight,cluster3,1
secu,lochouse,coassis,remserv,insight,cluster3,1
alarm,opauto,cam,locally,insight,cluster2,0
assis,opauto,cowash,share,opti,cluster2,1
hvac,opauto,cosecu,remserv,insight,cluster2,1
assis,preshouse,coalarm,locally,nothing,cluster2,1
refr,lochouse,watch,remserv,opti,cluster2,0
tv,alert,colight,share,insight,cluster2,0
secu,alert,micro,locally,reco,cluster2,0
tv,lochouse,locsens,locally,opti,cluster2,0
wash,alert,corefri,remserv,reco,cluster2,1
secu,lochouse,cotv,share,nothing,cluster2,1
alarm,preshouse,coassis,share,reco,cluster2,1
light,preshouse,cohvac,remserv,nothing,cluster2,1
alarm,preshouse,cosecu,remserv,opti,cluster3,1
hvac,alert,cowash,remserv,nothing,cluster3,1
light,opauto,coassis,share,insight,cluster3,0
wash,alert,locsens,locally,nothing,cluster3,0
refr,opauto,cohvac,remserv,reco,cluster3,0
tv,opauto,watch,locally,reco,cluster3,1
assis,alert,cotv,share,reco,cluster3,0
light,preshouse,cam,locally,opti,cluster3,1
secu,lochouse,corefri,remserv,insight,cluster3,0
tv,preshouse,coalarm,share,nothing,cluster3,0
assis,lochouse,micro,locally,insight,cluster3,1
wash,lochouse,colight,share,opti,cluster3,0
tv,alert,watch,share,nothing,cluster3,0
light,lochouse,cam,share,insight,cluster3,1
light,alert,corefri,locally,opti,cluster3,1
refr,lochouse,cotv,remserv,reco,cluster3,1
secu,preshouse,coassis,remserv,insight,cluster3,1
hvac,opauto,coalarm,remserv,nothing,cluster3,1
