@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
refr,alert,micro,remserv,insight,0
light,lochouse,coassis,locally,nothing,1
tv,lochouse,cowash,share,reco,0
assis,preshouse,cohvac,share,insight,0
alarm,preshouse,locsens,locally,reco,1
hvac,preshouse,watch,remserv,reco,0
light,alert,corefri,share,opti,0
assis,opauto,cotv,locally,opti,0
tv,alert,coalarm,locally,insight,0
wash,lochouse,cosecu,remserv,nothing,0
secu,opauto,cam,remserv,opti,0
alarm,opauto,colight,share,nothing,0
hvac,lochouse,cohvac,remserv,opti,0
refr,lochouse,cam,share,nothing,0
secu,preshouse,locsens,share,reco,0
secu,opauto,cosecu,locally,insight,0
light,alert,colight,remserv,reco,0
tv,preshouse,micro,locally,nothing,0
tv,opauto,cotv,share,opti,0
alarm,lochouse,watch,locally,opti,0
assis,preshouse,coassis,remserv,nothing,0
wash,opauto,cowash,remserv,insight,0
alarm,alert,coalarm,share,insight,0
refr,alert,corefri,locally,reco,0
hvac,preshouse,cohvac,remserv,insight,1
light,opauto,colight,remserv,nothing,1
alarm,opauto,coalarm,share,reco,1
secu,alert,locsens,share,nothing,1
tv,lochouse,cotv,share,insight,1
tv,alert,micro,locally,opti,1
alarm,preshouse,watch,locally,insight,1
assis,preshouse,coassis,share,opti,1
refr,alert,corefri,remserv,opti,1
wash,lochouse,cowash,remserv,reco,1
assis,opauto,cam,locally,nothing,1
secu,lochouse,cosecu,locally,reco,1
hvac,lochouse,watch,locally,reco,0
secu,lochouse,coassis,share,insight,0
secu,alert,cam,locally,opti,0
alarm,preshouse,colight,share,opti,0
refr,preshouse,micro,locally,insight,0
light,preshouse,corefri,remserv,insight,0
hvac,alert,coalarm,share,nothing,0
assis,lochouse,cohvac,remserv,reco,0
tv,opauto,cowash,remserv,nothing,0
refr,opauto,cotv,share,reco,0
wash,alert,cosecu,remserv,opti,0
alarm,opauto,locsens,locally,nothing,0
alarm,lochouse,cam,share,insight,0
