@relation 'Framing2-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R2-6,1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {tv,secu,light,refr,alarm,assis,wash,hvac}
@attribute purposef {opauto,preshouse,alert,lochouse}
@attribute whatf {cosecu,cohvac,micro,coalarm,cotv,corefri,watch,coassis,cam,cowash,colight,locsens}
@attribute cstore {share,remserv,locally}
@attribute caction {insight,nothing,opti,reco}
@attribute decision {0,1}

@data
light,preshouse,cosecu,remserv,opti,1
refr,opauto,coassis,share,insight,0
hvac,alert,cosecu,share,reco,1
light,preshouse,cotv,remserv,opti,1
refr,opauto,watch,share,insight,1
assis,lochouse,coalarm,remserv,insight,1
secu,alert,cohvac,locally,nothing,1
tv,opauto,locsens,remserv,reco,1
secu,lochouse,micro,share,opti,1
wash,preshouse,corefri,share,nothing,1
refr,preshouse,cowash,locally,opti,1
alarm,alert,cam,remserv,nothing,1
hvac,lochouse,colight,locally,insight,1
wash,opauto,coassis,locally,reco,1
hvac,opauto,cosecu,locally,reco,1
tv,alert,colight,remserv,nothing,0
alarm,alert,cam,locally,nothing,0
refr,alert,coalarm,share,reco,0
refr,lochouse,watch,locally,insight,1
alarm,lochouse,coassis,share,opti,0
secu,opauto,cotv,share,insight,0
assis,opauto,cowash,remserv,reco,1
wash,preshouse,corefri,remserv,opti,1
hvac,preshouse,locsens,share,nothing,0
secu,preshouse,micro,locally,opti,1
light,lochouse,cohvac,remserv,insight,1
refr,preshouse,cosecu,locally,insight,0
hvac,alert,cam,share,nothing,0
tv,opauto,coassis,remserv,nothing,1
alarm,preshouse,cotv,share,opti,0
secu,lochouse,coalarm,share,insight,0
light,preshouse,cowash,remserv,insight,1
hvac,lochouse,corefri,locally,reco,0
assis,lochouse,colight,remserv,reco,1
refr,opauto,locsens,share,reco,1
secu,alert,watch,locally,opti,1
alarm,opauto,micro,locally,nothing,1
wash,alert,cohvac,remserv,opti,1
refr,preshouse,cowash,share,opti,0
assis,alert,watch,remserv,opti,1
refr,opauto,coalarm,locally,nothing,1
hvac,alert,locsens,locally,opti,1
wash,preshouse,cam,locally,insight,0
hvac,lochouse,colight,share,insight,0
light,lochouse,micro,locally,reco,0
alarm,lochouse,corefri,remserv,reco,0
light,alert,cotv,share,nothing,0
